quarter,ps_median,growth_median,margin_median
1996Q1,,,
1996Q2,,,
1996Q3,,,
1996Q4,5.31317623297906,0.13947681451456329,0.04955800656698732
1997Q1,5.063488543486722,0.1320059175902797,0.052452767649983426
1997Q2,5.39218624514808,0.14086626231374555,0.04777024268350596
1997Q3,6.345600625433217,0.15249734722751263,0.052318827793629376
1997Q4,5.869441392365563,0.1761710794297351,0.05752070330702536
1998Q1,5.5929487843418455,0.18242447367984482,0.055919251553312545
1998Q2,6.18265598316057,0.16371929438918498,0.0485555404855554
1998Q3,4.601833551873485,0.1442622950819672,0.041712991091972206
1998Q4,5.001929127357192,0.1314059758556576,0.041680984124802416
1999Q1,5.081703101413796,0.1339618000174574,0.04515453145472101
1999Q2,6.021489538744072,0.13170235892554705,0.03643781224390143
1999Q3,6.036307458686312,0.13492236645940148,0.04551994767822106
1999Q4,7.391211779717502,0.1880144300633585,0.04929582207161369
2000Q1,9.554140922749868,0.20607786579126763,0.05599844285230683
2000Q2,8.664916129030747,0.24115070186845156,0.04740073043748543
2000Q3,7.2584307596117945,0.2807224323866808,0.04076708091108714
2000Q4,5.174145466451237,0.26831632058033483,0.03977913733392703
2001Q1,5.1595693388149915,0.22575769953970082,0.0392514651319714
2001Q2,5.651177015615277,0.08947440011667496,0.003433049148197179
2001Q3,5.083227436590705,-0.029940547011968466,-0.023293405728022548
2001Q4,5.74034670581602,-0.10904644801193653,-0.05186005602970878
2002Q1,6.176950326724255,-0.138984008056719,-0.03657819114576234
2002Q2,5.814697148451021,-0.10429205466164176,-0.012405827980885683
2002Q3,3.581822102347068,-0.01753794038854739,0.0014326917639074783
2002Q4,4.499594359547769,0.018657893550858562,0.002462950246103206
2003Q1,3.719735878336384,0.05411521076331016,0.0018999386806909171
2003Q2,5.238742912371134,0.06674658862522476,0.01424802110817942
2003Q3,6.3306921181847535,0.04498518113000971,0.019877905914469654
2003Q4,7.594374946813038,0.066827173347215,0.029421243199181057
2004Q1,7.563922086835072,0.1189053727694599,0.04005997963239896
2004Q2,7.043210374992353,0.15440404618761328,0.04309075509805199
2004Q3,5.725250032410083,0.15259397205599712,0.05025022504855191
2004Q4,6.521391334301059,0.1456858830358514,0.05633762119090032
2005Q1,6.125861965715509,0.1260157697284887,0.06001622920555929
2005Q2,6.163469925701161,0.08148990679205137,0.046530583718969384
2005Q3,6.549753404508201,0.07351888133646667,0.05573271801427478
